trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,11.03968199999872,9205.221383400001,,,NaN,NaN,NaN
2,right,12.54123879999861,9206.7238331,12.54123879999861,9206.7238331,False,NaN,NaN
3,none,14.041792299998633,9208.2243837,,,NaN,NaN,NaN
4,right,15.54203679999955,9209.7250327,15.54203679999955,9209.7250327,False,NaN,NaN
5,none,17.04530689999956,9211.2250784,,,NaN,NaN,NaN
6,left,18.543711799999073,9212.7264326,18.543711799999073,9212.7264326,NaN,NaN,NaN
7,none,20.0443422999997,9214.2268495,,,NaN,NaN,NaN
8,left,21.558312599998317,9215.741128000001,21.558312599998317,9215.741128000001,NaN,NaN,NaN
9,left,23.059665799999493,9217.242480800001,23.059665799999493,9217.242480800001,NaN,NaN,NaN
10,none,24.558387699999003,9218.7416826,,,NaN,NaN,NaN
11,right,26.060973299998295,9220.242877300001,26.060973299998295,9220.242877300001,False,NaN,NaN
12,left,27.559890099999393,9221.7430838,27.559890099999393,9221.7430838,NaN,NaN,NaN
13,none,29.06114499999967,9223.2438619,,,NaN,NaN,NaN
14,left,30.563209599999027,9224.7454417,30.563209599999027,9224.7454417,NaN,NaN,NaN
15,none,32.06296349999866,9226.2451697,,,NaN,NaN,NaN
16,right,33.56328439999925,9227.7456246,33.56328439999925,9227.7456246,False,NaN,NaN
17,none,35.063840299999356,9229.24596,,,NaN,NaN,NaN
18,none,36.56458810000004,9230.7465624,,,NaN,NaN,NaN
19,right,38.06636869999966,9232.2483281,38.06636869999966,9232.2483281,False,NaN,NaN
20,none,39.56577709999874,9233.7484389,,,NaN,NaN,NaN
21,none,41.06581179999921,9235.2487186,,,NaN,NaN,NaN
22,none,42.56703019999986,9236.749843200001,,,NaN,NaN,NaN
23,right,44.067923199998404,9238.250734500001,44.067923199998404,9238.250734500001,False,NaN,NaN
24,none,45.56856879999941,9239.7513627,,,NaN,NaN,NaN
25,none,47.069016499999634,9241.2519702,,,NaN,NaN,NaN
26,none,48.57137109999894,9242.7534268,,,NaN,NaN,NaN
27,none,50.070329799998945,9244.253202900001,,,NaN,NaN,NaN
28,left,51.571846099999675,9245.7545897,51.571846099999675,9245.7545897,NaN,NaN,NaN
29,none,53.07172469999932,9247.2546191,,,NaN,NaN,NaN
30,left,54.57344269999885,9248.7554603,54.57344269999885,9248.7554603,NaN,NaN,NaN
31,none,56.07315109999945,9250.2553552,,,NaN,NaN,NaN
32,right,57.575365099999544,9251.757226900001,57.575365099999544,9251.757226900001,False,NaN,NaN
33,none,59.074913199998264,9253.2568905,,,NaN,NaN,NaN
34,left,60.59021639999992,9254.7726351,60.59021639999992,9254.7726351,NaN,NaN,NaN
35,none,62.089289699999426,9256.2712101,,,NaN,NaN,NaN
36,left,63.58969519999846,9257.7719927,63.58969519999846,9257.7719927,NaN,NaN,NaN
37,none,65.08970649999901,9259.2725082,,,NaN,NaN,NaN
38,none,66.59268689999953,9260.7752634,,,NaN,NaN,NaN
39,none,68.0938591999984,9262.2767984,,,NaN,NaN,NaN
40,none,69.59621619999962,9263.7788529,,,NaN,NaN,NaN
41,none,71.09331199999906,9265.2759931,,,NaN,NaN,NaN
42,none,72.59352999999828,9266.7766976,,,NaN,NaN,NaN
43,right,74.09517749999941,9268.2777773,74.09517749999941,9268.2777773,False,NaN,NaN
44,none,75.59406879999915,9269.7771443,,,NaN,NaN,NaN
45,left,77.09496489999947,9271.2779659,77.09496489999947,9271.2779659,NaN,NaN,NaN
46,none,78.59894469999927,9272.780056700001,,,NaN,NaN,NaN
47,none,80.09695389999979,9274.2793105,,,NaN,NaN,NaN
48,right,81.59801309999966,9275.7800713,81.59801309999966,9275.7800713,red,0.7122584999997343,0.7149191999997129
49,none,83.10134839999955,9277.283523,,,NaN,0.09818579999955546,0.1001990000004298
50,none,84.59994809999989,9278.781976100001,,,NaN,NaN,NaN
51,none,86.09970049999902,9280.2814366,,,NaN,0.22426260000065668,0.226657699999123
52,none,87.59963639999842,9281.7824158,,,NaN,NaN,NaN
53,right,89.1001827,9283.282491,89.1001827,9283.282491,red,0.46431569999913336,0.4664568000007421
54,none,90.59905479999907,9284.782291900001,,,NaN,NaN,NaN
55,right,92.100821,9286.2829554,92.100821,9286.2829554,False,NaN,NaN
56,none,93.59947499999907,9287.7824763,,,NaN,NaN,NaN
57,left,95.1028583999996,9289.2853083,95.1028583999996,9289.2853083,NaN,NaN,NaN
58,none,96.6007428999983,9290.783764700001,,,NaN,NaN,NaN
59,none,98.10235560000001,9292.2855313,,,NaN,NaN,NaN
60,none,99.605943999999,9293.7879875,,,NaN,NaN,NaN
61,left,101.10482629999933,9295.287586800001,101.10482629999933,9295.287586800001,NaN,NaN,NaN
62,none,102.60449709999921,9296.7872841,,,NaN,NaN,NaN
63,right,104.10903299999882,9298.2904903,104.10903299999882,9298.2904903,False,NaN,NaN
64,none,105.62226739999824,9299.794093,,,NaN,NaN,NaN
65,none,107.10667439999997,9301.2890186,,,NaN,NaN,NaN
66,none,108.60760299999856,9302.789751400001,,,NaN,NaN,NaN
67,none,110.10756029999902,9304.2900892,,,NaN,NaN,NaN
68,left,111.61000189999868,9305.792889100001,111.61000189999868,9305.792889100001,NaN,NaN,NaN
69,none,113.10989809999955,9307.291962500001,,,NaN,NaN,NaN
70,none,114.61019509999824,9308.7931143,,,NaN,NaN,NaN
71,left,116.1112951999985,9310.2941659,116.1112951999985,9310.2941659,NaN,NaN,NaN
72,none,117.61125189999984,9311.7941174,,,NaN,NaN,NaN
73,none,119.11501709999902,9313.2974539,,,NaN,NaN,NaN
74,right,120.61201209999854,9314.7948502,120.61201209999854,9314.7948502,False,NaN,NaN
75,none,122.11217469999974,9316.2951988,,,NaN,NaN,NaN
76,none,123.6126138999989,9317.7955137,,,NaN,NaN,NaN
77,none,125.11515689999942,9319.296755000001,,,NaN,NaN,NaN
78,left,126.61561509999956,9320.797427700001,126.61561509999956,9320.797427700001,NaN,NaN,NaN
79,none,128.11699859999862,9322.2990374,,,NaN,NaN,NaN
80,right,129.61680309999974,9323.7987622,129.61680309999974,9323.7987622,False,NaN,NaN
81,none,131.1174719999999,9325.299502400001,,,NaN,NaN,NaN
82,none,132.617274799999,9326.800023400001,,,NaN,NaN,NaN
83,none,134.11723139999958,9328.3002875,,,NaN,NaN,NaN
84,right,135.61870259999887,9329.801505200001,135.61870259999887,9329.801505200001,False,NaN,NaN
85,none,137.1191990999996,9331.3020423,,,NaN,NaN,NaN
86,none,138.61948779999875,9332.802571600001,,,NaN,NaN,NaN
87,none,140.1197214999993,9334.302720900001,,,NaN,NaN,NaN
88,left,141.62044159999823,9335.8034294,141.62044159999823,9335.8034294,NaN,NaN,NaN
89,none,143.12077129999852,9337.3035757,,,NaN,NaN,NaN
90,none,144.62150609999844,9338.804104800001,,,NaN,0.23339140000098269,0.23532549999799812
91,left,146.12370809999993,9340.3061399,146.12370809999993,9340.3061399,NaN,NaN,NaN
92,none,147.6226749999987,9341.805601400001,,,NaN,NaN,NaN
93,none,149.12592959999893,9343.307700500001,,,NaN,NaN,NaN
94,right,150.62653949999913,9344.808065000001,150.62653949999913,9344.808065000001,False,NaN,NaN
95,none,152.12673919999907,9346.309043700001,,,NaN,NaN,NaN
96,none,153.62672229999953,9347.808614000001,,,NaN,NaN,NaN
97,none,155.1261803999987,9349.3089674,,,NaN,NaN,NaN
