trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,8.712409300002037,21267.1148948,,,NaN,NaN,NaN
2,none,10.354118400002335,21272.763388985,,,NaN,NaN,NaN
3,none,12.020701800000097,21274.430071220002,,,NaN,NaN,NaN
4,none,13.670726899999863,21276.08000197,,,NaN,NaN,NaN
5,none,15.353997800000798,21277.76631026,,,NaN,NaN,NaN
6,none,17.03744000000006,21279.44701751,,,NaN,NaN,NaN
7,right,19.012528600000223,21281.423284480003,19.012528600000223,21281.423284480003,red,0.3186249000027601,0.31639291499595856
8,none,20.562565600001108,21281.74681268,,,NaN,NaN,NaN
9,right,22.20663229999991,21284.6213314,22.20663229999991,21284.6213314,red,0.5659971000022779,0.561260714999662
10,none,23.795937500002765,21285.188633825,,,NaN,NaN,NaN
11,right,25.45429570000124,21287.863544440002,25.45429570000124,21287.863544440002,red,0.35159030000068014,0.350389274997724
12,none,26.99587910000264,21288.222055495,,,NaN,NaN,NaN
13,none,28.646067700003186,21291.055455245,,,NaN,NaN,NaN
14,right,30.337659200002236,21292.747177115,30.337659200002236,21292.747177115,red,0.3958856999997806,0.39257291999820154
15,none,31.88767000000007,21293.14919317,,,NaN,NaN,NaN
16,none,33.54602320000049,21295.959772495,,,NaN,NaN,NaN
17,none,35.17937789999996,21297.588920000002,,,NaN,NaN,NaN
18,none,36.84717070000261,21299.261402885,,,NaN,NaN,NaN
19,right,38.52133529999992,21300.930428710002,38.52133529999992,21300.930428710002,red,0.3106712000007974,0.3161590849995264
20,none,40.06281020000097,21301.24780883,,,NaN,NaN,NaN
21,none,41.704369099999894,21304.114039855,,,NaN,NaN,NaN
22,none,43.35443480000322,21305.764064375002,,,NaN,NaN,NaN
23,right,44.99620110000251,21307.405538605002,44.99620110000251,21307.405538605002,red,0.4684637999998813,0.46711158999823965
24,none,46.554485399999976,21307.88095019,,,NaN,NaN,NaN
25,right,48.16287160000138,21310.572343085,48.16287160000138,21310.572343085,red,0.4383893000012904,0.4371576699995785
26,none,49.746220600001834,21311.01691366,,,NaN,NaN,NaN
27,left,51.39615930000218,21313.80572486,51.39615930000218,21313.80572486,NaN,NaN,NaN
28,none,53.046475800001645,21315.45555316,,,NaN,NaN,NaN
29,none,54.75475390000065,21317.163878255,,,NaN,NaN,NaN
30,none,56.40457740000056,21318.813913625003,,,NaN,NaN,NaN
31,left,58.029732500002865,21320.438838370002,58.029732500002865,21320.438838370002,False,0.4030198999971617,0.40119326499916497
32,none,59.55464090000169,21320.848279205,,,NaN,NaN,NaN
33,none,61.20459649999975,21323.61400102,,,NaN,NaN,NaN
34,none,62.863143200000195,21325.27222103,,,NaN,NaN,NaN
35,none,64.5047838999999,21326.913880760003,,,NaN,NaN,NaN
36,none,66.17957680000109,21328.589178860002,,,NaN,NaN,NaN
37,none,67.79658879999988,21330.206998445003,,,NaN,NaN,NaN
38,none,69.45475970000189,21331.86439889,,,NaN,NaN,NaN
39,right,71.08813470000314,21333.497704355002,71.08813470000314,21333.497704355002,red,0.4851357999978063,0.49059895999744185
40,none,72.65479010000126,21333.989461610003,,,NaN,NaN,NaN
41,none,74.33825770000112,21336.747415795002,,,NaN,NaN,NaN
42,right,75.98826560000089,21338.397772075,75.98826560000089,21338.397772075,red,0.5348655000016151,0.5404205199993157
43,none,77.57156860000032,21338.939072200003,,,NaN,NaN,NaN
44,none,79.14662050000334,21341.555849285,,,NaN,NaN,NaN
45,right,80.81379770000058,21343.222696895,80.81379770000058,21343.222696895,red,0.3700635000022885,0.37592033999681007
46,none,82.37995990000127,21343.59931261,,,NaN,NaN,NaN
47,left,84.03828750000321,21346.447505930002,84.03828750000321,21346.447505930002,NaN,NaN,NaN
48,none,85.66337840000051,21348.074597455,,,NaN,NaN,NaN
49,none,87.29675540000244,21349.705914635,,,NaN,NaN,NaN
50,none,88.96439440000177,21351.378857300002,,,NaN,NaN,NaN
51,none,90.6218129000008,21353.032144225002,,,NaN,NaN,NaN
52,none,92.296688800001,21354.706064,,,NaN,NaN,NaN
53,none,93.94683290000103,21356.35599679,,,NaN,NaN,NaN
54,none,95.58844910000334,21357.997807645002,,,NaN,NaN,NaN
55,none,97.23850870000024,21359.647785545003,,,NaN,NaN,NaN
56,left,98.87558170000193,21361.28830498,98.87558170000193,21361.28830498,NaN,NaN,NaN
57,none,100.5385316000029,21362.947760615003,,,NaN,NaN,NaN
58,none,102.26913970000169,21364.64784202,,,NaN,NaN,NaN
59,none,103.89696450000338,21366.31118366,,,NaN,NaN,NaN
60,none,105.55271390000053,21367.966086530003,,,NaN,NaN,NaN
61,none,107.18036610000127,21369.58954576,,,NaN,NaN,NaN
62,right,108.83052460000181,21371.23951123,108.83052460000181,21371.23951123,red,0.40168289999928675,0.40137800500087906
63,none,110.40555830000085,21371.646742325,,,NaN,NaN,NaN
64,none,112.0636239000014,21374.472965570003,,,NaN,NaN,NaN
65,none,113.70543120000002,21376.114616990002,,,NaN,NaN,NaN
66,none,115.33883830000195,21377.748548915002,,,NaN,NaN,NaN
67,none,117.00540499999988,21379.414664930002,,,NaN,NaN,NaN
68,left,118.64713410000331,21381.056455835,118.64713410000331,21381.056455835,False,0.38465369999903487,0.38669003999893903
69,none,120.18877740000244,21381.44790184,,,NaN,NaN,NaN
70,none,121.81386810000186,21384.225059035,,,NaN,NaN,NaN
71,right,123.46382980000271,21385.872985735,123.46382980000271,21385.872985735,red,0.4200934000000416,0.42239662000065437
72,none,125.0139126000031,21386.298450280003,,,NaN,NaN,NaN
73,none,126.64725069999986,21389.056623485,,,NaN,NaN,NaN
74,none,128.31388359999983,21390.72430742,,,NaN,NaN,NaN
75,none,129.96390280000196,21392.373433165,,,NaN,NaN,NaN
76,left,131.63897010000073,21394.048231570003,131.63897010000073,21394.048231570003,NaN,NaN,NaN
77,none,133.29721340000106,21395.706679705003,,,NaN,NaN,NaN
78,none,134.980649000001,21397.389845405003,,,NaN,NaN,NaN
79,none,136.60565960000167,21399.01502191,,,NaN,NaN,NaN
80,none,138.23071970000092,21400.639909550002,,,NaN,NaN,NaN
81,none,139.88921210000262,21402.298052435002,,,NaN,NaN,NaN
82,right,141.5557563000002,21403.965051760002,141.5557563000002,21403.965051760002,red,0.5763180000030843,0.578739714997937
83,none,143.13076379999984,21404.548105345002,,,NaN,NaN,NaN
84,left,144.77253370000108,21407.181511375,144.77253370000108,21407.181511375,NaN,NaN,NaN
85,none,146.42261270000017,21408.831527765,,,NaN,NaN,NaN
86,none,148.05589540000074,21410.466947545003,,,NaN,NaN,NaN
87,right,149.71423630000209,21412.12398448,149.71423630000209,21412.12398448,red,0.4033670999997412,0.40563531500083627
88,none,151.28923900000154,21412.53238171,,,NaN,NaN,NaN
89,left,152.9392439000003,21415.34824894,152.9392439000003,21415.34824894,NaN,NaN,NaN
90,none,154.5309472000008,21416.942170745002,,,NaN,NaN,NaN
91,left,156.1559741000019,21418.56546527,156.1559741000019,21418.56546527,NaN,NaN,NaN
92,none,157.81447400000252,21420.22328971,,,NaN,NaN,NaN
93,none,159.46431490000032,21421.873365310003,,,NaN,NaN,NaN
94,none,161.1026434000014,21423.516489470003,,,NaN,NaN,NaN
95,none,162.76432530000238,21425.173501790003,,,NaN,NaN,NaN
96,none,164.41437880000012,21426.823284625003,,,NaN,NaN,NaN
97,right,166.03941770000165,21428.44867804,166.03941770000165,21428.44867804,red,0.36002369999914663,0.358455835001223
98,none,167.58111380000264,21428.815306735003,,,NaN,NaN,NaN
99,none,169.23108790000333,21431.640190510003,,,NaN,NaN,NaN
100,left,170.9061810000021,21433.315228630003,170.9061810000021,21433.315228630003,NaN,NaN,NaN
101,none,172.58112580000306,21434.990259475002,,,NaN,NaN,NaN
102,left,174.2393927000012,21436.64846245,174.2393927000012,21436.64846245,NaN,NaN,NaN
103,none,175.90650870000172,21438.3151829,,,NaN,NaN,NaN
104,right,177.56464570000026,21439.973842940002,177.56464570000026,21439.973842940002,red,0.3678397000003315,0.37283269499675953
105,none,179.1396498000031,21440.348482880003,,,NaN,NaN,NaN
106,left,180.74798450000162,21443.156941085002,180.74798450000162,21443.156941085002,NaN,NaN,NaN
107,none,182.389622900002,21444.7985414,,,NaN,NaN,NaN
108,left,184.04797360000157,21446.456898125,184.04797360000157,21446.456898125,NaN,NaN,NaN
