trial_index,arrow,sound_onset_psy,sound_onset_dev,arrow_onset_psy,arrow_onset_dev,response_key,rt_psy,rt_dev
1,none,11.092725700000301,20876.172614515002,,,NaN,NaN,NaN
2,none,12.592622500000289,20880.185479805,,,NaN,NaN,NaN
3,none,14.092711000001145,20881.684061035,,,NaN,NaN,NaN
4,none,15.592763900000136,20883.184157225,,,NaN,NaN,NaN
5,none,17.092925500001,20884.68450265,,,NaN,NaN,NaN
6,none,18.592863900001248,20886.18439567,,,NaN,NaN,NaN
7,right,20.092870199998288,20887.684503335,20.092870199998288,20887.684503335,NaN,NaN,NaN
8,none,21.592862800000148,20889.191205545,,,NaN,NaN,NaN
9,right,23.092912799998885,20890.684378915,23.092912799998885,20890.684378915,NaN,NaN,NaN
10,none,24.592925699998887,20892.18440152,,,NaN,NaN,NaN
11,right,26.092778800000815,20893.684316720002,26.092778800000815,20893.684316720002,NaN,NaN,NaN
12,none,27.592959800000244,20895.18415615,,,NaN,NaN,NaN
13,none,29.101599099998566,20896.700634785,,,NaN,NaN,NaN
14,right,31.084665200000018,20898.19370123,31.084665200000018,20898.19370123,NaN,NaN,NaN
15,none,32.58468400000129,20900.17628096,,,NaN,NaN,NaN
16,none,34.08460529999866,20901.67680542,,,NaN,NaN,NaN
17,none,35.584679399999004,20903.18469142,,,NaN,NaN,NaN
18,none,37.08462220000001,20904.676133065,,,NaN,NaN,NaN
19,right,38.58492079999996,20906.176320130002,38.58492079999996,20906.176320130002,NaN,NaN,NaN
20,none,40.084890999998606,20907.677509955,,,NaN,NaN,NaN
21,none,41.5932384000007,20909.195945165,,,NaN,NaN,NaN
22,none,43.0932341000007,20910.685034065,,,NaN,NaN,NaN
23,right,44.59327889999986,20912.189381390002,44.59327889999986,20912.189381390002,NaN,NaN,NaN
24,none,46.09306999999899,20913.68467934,,,NaN,NaN,NaN
25,right,47.59330050000062,20915.18442931,47.59330050000062,20915.18442931,NaN,NaN,NaN
